SMSA_name,Per_capita_Retail_sales ,Per_capita_Retail_Establishments,Per_capita_income,Per_capita_federal_expenditures,Males_per_100_females 
"Monroe, IL",6.195,0.886,18.584,2.44,97
"Monroe, IN",7.486,1.077,16.294,3.059,94
"Monroe, MI",5.847,0.813,18.302,2.419,98
"Monroe, NY",7.927,0.934,22.773,3.533,93
"Monterey, CA",7.043,1.014,21.17,4.366,108
"Montgomery, AL",8.966,1.015,19.609,8.016,90
"Montgomery, MD",9.491,0.96,33.427,9.437,93
"Montgomery, NY",6.721,1.324,16.93,3.857,91
"Montgomery, OH",8.078,0.908,20.024,4.991,92
"Montgomery, PA",11.097,1.26,31.833,3.997,93
"Montgomery, TN",7.216,0.978,14.748,2.332,104
"Montgomery, TX",5.59,0.81,18.724,2.042,99
"Morgan, AL",8.129,1.319,18.164,4.017,95
"Morgan, IN",5.739,0.986,17.063,2.166,97
"Morris, NJ",10.569,1.116,33.411,3.74,96
"Morton, ND",6.644,0.995,15.48,3.371,98
"Multnomah, OR",9.272,1.129,21.719,4.832,95
"Muscogee, GA",8.55,0.928,16.744,6.638,94
"Muskegon, MI",6.48,0.886,15.682,4.142,96
"Napa, CA",7.147,1.065,24.435,3.56,98
"Nash, NC",9.097,1.301,17.266,2.721,91
"Nassau, FL",6.377,0.998,19.061,3.45,98
"Nassau, NY",10.873,1.2,32.214,5.201,94
"Natrona, WY",8.519,1.392,21.429,3.68,97
"New Castle, DE",9.573,0.952,23.637,3.335,94
"New Hanover, NC",10.908,1.422,18.291,3.356,91
"New Haven, CT",8.015,1.033,23.633,3.853,93
"New Kent, VA",3.811,0.759,18.362,2.966,99
"New London, CT",7.895,1.163,22.279,7.57,100
"Newport News, VA",6.634,0.791,16.829,8.88,97
"Newton, GA",6.07,0.842,14.964,2.423,92
"Newton, MO",4.748,1.089,15.058,2.827,95
"Niagara, NY",7.38,1.097,18.06,3.596,92
"Norfolk, MA",9.265,0.965,28.174,3.345,91
"Norfolk, VA",7.109,0.755,16.448,16.53,111
"Northampton, PA",5.77,0.936,19.843,3.127,95
"Nueces, TX",7.892,1.063,17.124,4.452,96
"Nye, NV",3.834,1.154,16.745,3.312,115
"Oakland, MI",10.993,1.079,28.839,2.753,95
"Ocean, NJ",7.79,0.974,22.285,4.023,89
"Oconee, GA",4.541,0.743,18.346,1.71,95
"Ogle, IL",4.339,0.966,16.868,2.374,96
"Ohio, IN",1.605,0.752,14.635,2.442,95
"Ohio, WV",6.917,1.135,20.337,4.784,87
"Okaloosa, FL",8.558,1.244,17.757,9.006,102
"Oklahoma, OK",9.444,1.216,19.124,5.681,93
"Oldham, KY",4.206,0.731,23.541,1.073,109
"Olmsted, MN",10.351,1.056,21.947,2.898,95
"Oneida, NY",6.944,1.19,17.291,6.796,99
"Onondaga, NY",8.216,1.084,20.14,3.97,92
"Onslow, NC",5.615,0.832,12.593,7.899,141
"Ontario, NY",8.41,1.245,19.648,3.162,97
"Orange, CA",8.852,1.104,24.891,3.701,102
"Orange, FL",10.644,1.112,18.929,4.498,98
"Orange, NC",6.727,0.937,21.202,3.738,91
"Orange, NY",7.901,1.092,19.542,3.29,101
"Orange, TX",5.896,1.003,16.023,2.852,96
"Orleans, LA",6.085,0.879,18.791,7.715,87
"Orleans, NY",3.685,0.929,15.273,2.458,102
"Osage, OK",2.28,0.89,13.284,2.75,99
"Osceola, FL",9.755,1.115,15.258,2.344,96
"Oswego, NY",5.686,1.063,16.778,2.508,97
"Ottawa, MI",6.834,0.969,19.719,2.665,98
"Ouachita, LA",8.481,1.059,14.963,3.053,89
"Outagamie, WI",9.023,0.995,19.88,2.262,98
"Ozaukee, WI",7.219,1.091,27.185,2.233,99
"Palm Beach, FL",10.247,1.2,31.365,4.909,93
"Parker, TX",6.535,1.187,16.852,2.294,100
"Pasco, FL",6.361,0.944,15.446,4.263,91
"Passaic, NJ",8.725,0.966,21.837,3.934,93
"Paulding, GA",4.411,0.628,13.929,1.385,100
"Peach, GA",5.685,0.993,16.012,3.695,91
"Pendleton, KY",2.894,0.79,13.187,2.283,96
"Pennington, SD",10.382,1.352,17.758,5.013,99
"Penobscot, ME",9.181,1.261,16.966,3.853,96
"Peoria, IL",8.684,1.055,19.77,3.702,92
"Perry, PA",4.067,1.124,16.117,2.369,99
"Philadelphia, PA",5.292,0.821,19.124,7.214,87
"Pickaway, OH",4.876,0.814,14.623,2.261,125
"Pickens, GA",10.232,1.234,16.536,2.916,96
"Pickens, SC",5.516,0.998,14.534,2.333,99
"Pierce, WA",7.426,0.897,18.561,4.44,100
"Pierce, WI",4.247,1.233,16.956,2.55,100
"Pike, PA",3.487,1.104,16.811,2.273,98
"Pima, AZ",7.762,0.918,16.72,5.026,96
"Pinal, AZ",4.907,0.817,12.7,3.897,105
"Pinellas, FL",10.045,1.166,21.738,5.285,88
"Pitt, NC",8.286,1.113,16.757,2.612,91
"Pittsylvania, VA",3.211,0.771,30.675,2.698,96
"Placer, CA",9.753,1.339,22.746,2.878,98
"Plaquemines, LA",6.323,0.916,14.838,5.395,104
"Platte, MO",5.808,0.954,21.89,2.194,99
"Plymouth, MA",8.718,1.053,20.541,3.24,96
"Polk, FL",7.519,0.952,16.292,3.09,94
"Polk, IA",10.207,1.102,22.318,5.627,91
"Polk, MN",5.109,1.082,17.228,4.629,98
"Polk, OR",3.227,0.77,15.679,3.933,94
"Portage, OH",6.065,0.86,16.37,2.237,96
"Porter, IN",6.181,0.837,19.925,2.132,96
"Portsmouth, VA",4.746,0.667,16.084,11.136,91
"Posey, IN",4.273,0.92,18.161,2.367,98
"Pottawatomie, OK",6.433,1.301,14.227,3.884,92
"Pottawattamie, IA",8.083,1,16.737,6.387,93
"Potter, TX",10.506,1.413,16.653,7.609,93
"Powhatan, VA",2.964,0.668,15.831,1.572,129
"Prince George's, MD",8.006,0.774,21.14,6.961,94
"Prince George, VA",2.176,0.419,29.575,13.996,113
"Prince William, VA",7.534,0.777,23.437,3.335,105
"Providence, RI",5.978,1.018,19.587,4.556,91
"Pueblo, CO",7.38,1.076,15.579,4.15,94
"Pulaski, AR",10.236,1.164,20.027,5.486,91
"Putnam, NY",4.505,0.965,24.547,1.895,100
"Putnam, WV",5.942,0.88,16.256,2.137,96
"Queen Anne's, MD",6.11,1.169,21.488,3.627,98
"Racine, WI",7.169,0.997,20.155,2.783,95
"Ramsey, MN",8.901,0.914,22.762,5.54,92
"Randall, TX",8.427,1.145,19.092,0.913,93
"Randolph, NC",5.568,1.058,16.344,1.936,96
"Rankin, MS",5.172,0.844,16.407,2.282,95
"Rapides, LA",7.323,0.906,14.995,5.094,91
"Ray, MO",2.981,0.786,14.955,3.079,97
"Rensselaer, NY",5.365,0.962,18.803,3.253,97
"Richland, OH",8.04,1.071,16.3,2.93,98
"Richland, SC",8.521,1.093,18.57,6.725,95
"Richmond, GA",8.363,0.903,17.329,4.407,99
"Richmond, VA",10.509,1.233,25.265,9.417,84
"Riverside, CA",6.778,0.889,17.91,2.842,100
"Roanoke, VA",4.968,0.837,28.511,1.692,90
"Roanoke, VA",14.001,1.384,19.79,6.303,86
"Robertson, TN",5.583,0.968,15.526,2.275,96
"Rock Island, IL",7.872,0.985,20.037,5.672,93
"Rock, WI",8.272,0.998,18.625,3.305,95
"Rockdale, GA",9.164,0.926,18.469,1.767,98
"Rockingham, NH",11.974,1.441,23.311,3.005,98
"Rockland, NY",7.086,1.038,26.379,2.69,94
"Rockwall, TX",5.73,1.179,22.749,2.734,99
"Rogers, OK",4.871,1.054,15.946,2.17,98
"Rowan, NC",5.505,0.924,16.092,2.823,95
"Russell, AL",4.442,0.918,13.659,3.326,92
"Rutherford, TN",7.277,0.973,18.122,2.376,97
"Sacramento, CA",7.884,0.934,20.397,8.576,96
"Saginaw, MI",9.172,1.016,17.431,3.349,91
"Salem, NJ",5.602,0.833,20.947,5.955,93
"Saline, AR",5.921,0.753,15.066,1.753,98
"Salt Lake, UT",8.205,0.909,17.441,3.163,99
"San Bernardino, CA",6.389,0.816,16.359,3.085,100
"San Diego, CA",7.626,0.948,20.726,5.43,103
"San Francisco, CA",9.149,1.464,32.036,6.7,99
"San Joaquin, CA",6.091,0.809,17.13,3.028,103
"San Luis Obispo, CA",6.892,1.31,18.257,2.793,106
"San Mateo, CA",9.653,1.049,30.571,3.068,97
"San Patricio, TX",4.566,0.951,13.11,3.851,99
"Sandoval, NM",2.469,0.734,14.369,2.562,97
"Sangamon, IL",9.025,1.107,20.807,9.049,89
"Santa Barbara, CA",7.497,1.125,23.607,5.544,102
"Santa Clara, CA",8.884,0.997,26.779,5.092,103
"Santa Cruz, CA",8.124,1.204,23.047,2.58,99
"Santa Fe, NM",10.927,1.614,20.323,4.974,97
"Santa Rosa, FL",4.68,0.924,16.158,3.882,99
"Sarasota, FL",10.596,1.381,27.791,5.041,88
"Saratoga, NY",7.132,1.136,20.18,2.272,98
"Sarpy, NE",4.431,0.707,16.726,6.857,102
"Schenectady, NY",7.117,1.098,21.771,7.777,91
"Schoharie, NY",4.639,1.242,15.103,2.686,96
"Scott, IA",9.294,1.005,19.287,2.942,94
"Scott, IN",5.879,1.268,14.449,3.119,95
"Scott, KY",7.498,1.041,18.446,2.708,94
"Scott, MN",5.182,0.994,19.793,1.342,103
"Scott, VA",5.649,0.873,13.654,3.561,94
"Sebastian, AR",10.036,1.311,18.003,3.413,94
"Sedgwick, KS",8.987,1.05,20.827,4.749,96
"Seminole, FL",9.089,1.041,19.698,1.999,96
"Sequoyah, OK",4.624,1.159,12.833,3.371,96
"Sevier, TN",12.554,2.441,15.903,2.555,95
"Shasta, CA",7.957,1.2,17.3,3.558,96
"Shawnee, KS",8.53,1.089,19.796,5.877,94
"Sheboygan, WI",7.006,0.987,19.193,2.643,98
"Shelby, AL",4.852,0.84,20.475,1.509,96
"Shelby, IN",5.705,0.886,17.896,2.456,95
"Shelby, TN",8.329,0.925,20.509,4.413,91
"Sherburne, MN",4.647,0.807,15.808,1.359,105
"Smith, TX",8.846,1.305,18.857,3.162,93
"Snohomish, WA",8.001,0.92,20.551,2.135,100
"Solano, CA",6.98,0.832,18.951,4.998,104
"Somerset, NJ",10.014,1.047,35.571,2.754,97
"Somerset, PA",5.673,1.221,16.097,3.61,94
"Sonoma, CA",8.577,1.132,22.89,2.828,96
"Spalding, GA",7.301,0.955,15.124,2.66,92
"Spartanburg, SC",7.267,1.092,16.655,2.798,93
"Spokane, WA",8.621,0.983,18.158,3.864,95
"Spotsylvania, VA",6.512,0.515,25.256,1.047,99
"St. Bernard, LA",5.269,0.927,14.677,2.87,93
"St. Charles, LA",2.995,0.613,17.415,3.897,96
"St. Charles, MO",7.401,0.949,19.628,1.916,99
"St. Clair, AL",3.621,0.859,13.982,2.254,101
"St. Clair, IL",6.64,0.847,17.141,5.542,92
"St. Clair, MI",7.159,0.956,17.901,2.737,95
"St. Croix, WI",6.597,1.067,20.202,2.073,100
"St. James, LA",2.981,0.732,14.512,3.986,92
"St. John the Baptist, LA",4.646,0.681,14.446,2.793,96
"St. Johns, FL",7.444,1.358,24.123,3.26,94
"St. Joseph, IN",8.301,1.03,18.491,4.928,93
"St. Landry, LA",4.719,0.942,13.013,4.425,91
"St. Louis city, MO",5.645,0.888,19.719,15.643,84
"St. Louis, MN",7.949,1.158,17.278,4.001,95
"St. Louis, MO",10.016,0.968,27.322,3.138,91
"St. Lucie, FL",7.262,1.016,15.429,3.372,96
"St. Martin, LA",3.578,0.74,10.899,2.806,94
"St. Tammany, LA",7.135,1.034,18.375,2.795,97
"Stafford, VA",5.512,1.006,17.201,1.623,107
"Stanislaus, CA",7.439,0.901,16.794,2.627,97
"Stark, OH",7.964,1.093,17.986,3.18,92
"Stearns, MN",14.337,1.108,15.835,2.479,101
"Stokes, NC",2.746,0.964,15.606,1.753,97
"Strafford, NH",7.308,0.935,18.432,3.215,94
"Suffolk, MA",7.598,0.928,26.119,10.542,93
"Suffolk, NY",8.326,1.088,23.802,3.486,96
"Suffolk, VA",5.477,0.796,17.347,3.586,90
"Sullivan, TN",9.041,1.162,17.699,3.474,92
"Summit, OH",7.926,0.932,19.877,3.532,92
"Sumner, TN",5.062,1.023,17.639,2.218,96
"Sumter, SC",5.747,0.898,13.287,4.793,100
"Sussex, NJ",6.095,1.019,22.604,2.011,99
"Sutter, CA",6.752,0.961,18.569,3.031,98
"Tarrant, TX",8.474,1.055,20.686,4.987,98
"Taylor, TX",8.256,1.327,16.839,5.178,95
"Tazewell, IL",8.066,1.041,18.709,3.212,94
"Terrebonne, LA",7.773,1.038,13.266,2.553,96
"Thurston, WA",7.832,0.981,19.903,6.297,95
"Tioga, NY",4.517,1.037,16.87,9.276,98
"Tippecanoe, IN",8.565,0.891,17.276,3.051,103
"Tipton, IN",5.816,0.979,18.272,2.712,95
"Tipton, TN",4.902,0.889,14.9,2.863,95
"Tolland, CT",5.306,0.954,21.148,2.027,100
"Tom Green, TX",7.411,1.168,16.724,4.256,94
"Travis, TX",10.084,1.064,20.168,6.548,100
"Trumbull, OH",6.934,0.948,18.406,2.963,92
"Tulare, CA",5.69,0.891,15.318,2.827,100
"Tulsa, OK",10.022,1.161,20.7,3.109,93
"Tuscaloosa, AL",7.393,0.938,16.061,3.261,93
"Twiggs, GA",0.991,0.524,11.824,2.702,92
"Unicoi, TN",3.652,1.012,14.759,7.106,92
"Union, NC",5.58,0.911,17.057,1.703,97
"Union, NJ",7.602,0.935,27.819,3.617,92
"Union, TN",1.737,0.791,11.253,2.294,98
"Upshur, TX",4.382,1.011,14.349,2.936,94
"Utah, UT",5.751,0.751,13.042,1.906,98
"Valencia, NM",5.265,0.842,13.914,2.885,101
"Van Buren, MI",5.384,1.044,15.29,3.143,96
"Vanderburgh, IN",10.278,1.109,19.935,3.596,89
"Ventura, CA",7.88,0.931,21.937,3.669,102
"Vermillion, IN",6.102,1.07,16.24,4.422,91
"Victoria, TX",8.381,1.208,18.371,2.578,95
"Vigo, IN",15.613,1.045,16.533,3.844,96
"Virginia Beach, VA",7.159,0.861,19.882,4.323,103
"Volusia, FL",8.08,1.186,16.33,4.713,94
"Wagoner, OK",2.473,0.792,14.284,1.72,97
"Wake, NC",9.549,1.201,23.06,4.148,97
"Walker, GA",3.513,0.925,14.324,2.996,94
"Waller, TX",11.697,0.9,15.594,3.099,97
"Walton, GA",3.761,0.832,16.119,2.366,94
"Warren, IA",5.273,0.867,17.48,2.309,96
"Warren, MO",4.625,0.985,15.774,2.383,98
"Warren, NJ",7.556,1.18,21.593,2.965,94
"Warren, NY",12.257,1.872,19.359,3.283,93
"Warren, OH",5.897,0.996,18.916,1.871,102
"Warren, VA",5.887,1.042,16.473,2.666,97
"Warrick, IN",3.948,0.933,18.649,2.145,97
"Washington, AR",9.529,1.181,16.787,3.045,98
"Washington, MD",7.609,1.08,16.641,3.578,104
"Washington, MN",6.681,0.886,21.685,1.105,101
"Washington, NE",6.305,1.161,19.87,2.563,97
"Washington, NY",3.987,1.118,14.687,2.873,105
"Washington, OH",6.563,1.095,15.902,4.051,93
"Washington, OR",10.496,0.978,21.292,1.769,96
"Washington, PA",6.385,1.025,18.845,3.972,92
"Washington, RI",7.641,1.207,20.9,3.26,96
"Washington, TN",8.305,1.28,17.252,3.783,94
"Washington, VA",5.254,0.914,22.169,2.77,94
"Washington, WI",7.233,0.997,20.734,2.2,100
"Washoe, NV",10.24,1.08,25.578,3.269,103
"Washtenaw, MI",10.052,0.908,24.297,3.611,98
"Waukesha, WI",9.846,1.002,25.198,2.195,99
"Wayne, MI",6.183,0.711,18.942,4.59,90
"Wayne, NC",6.508,1.037,14.429,4.44,100
"Wayne, NY",5.353,1.109,18.202,2.709,98
"Wayne, WV",3.118,0.857,12.708,3.197,94
"Webb, TX",10.756,1.043,10.423,2.86,93
"Weber, UT",7.712,0.867,16.486,4.768,97
"Webster, LA",6.338,1.056,14.187,4.172,90
"Webster, MO",3.993,1.2,12.931,2.938,103
"Weld, CO",5.863,0.919,16.46,2.345,98
"Wells, IN",4.857,1.039,17.891,2.199,95
"West Baton Rouge, LA",4.963,0.76,16.026,4.552,94
"Westchester, NY",8.677,1.092,35.131,3.716,91
"Westmoreland, PA",6.664,1.029,18.9,3.461,92
"Whatcom, WA",11.372,1.264,18.143,4.487,97
"Whitley, IN",5.98,1.038,17.212,2.378,97
"Wichita, TX",7.965,1.291,17.774,5.575,95
"Will, IL",5.829,0.723,19.67,1.853,100
"Williamson, TN",8.963,1.268,26.532,1.814,97
"Williamson, TX",6.021,0.897,17.229,1.559,97
"Wilson, TN",5.493,0.981,18.155,2.128,98
"Wilson, TX",3.433,0.847,14.197,2.503,99
"Winnebago, IL",8.065,0.974,19.457,2.811,94
"Winnebago, WI",8.874,1.023,19.707,5.418,96
"Wood, OH",6.93,0.945,18.646,2.027,93
"Wood, WV",8.707,1.106,17.738,3.953,91
"Woodbury, IA",8.404,1.078,18.958,3.629,93
"Woodford, IL",5.051,1.019,18.065,2.117,96
"Woodford, KY",5.419,1.179,21.967,1.895,92
"Worcester, MA",7.722,1.035,20.06,3.462,95
"Wright, MN",6.508,0.974,16.998,1.793,102
"Wyandotte, KS",5.071,0.721,14.858,4.727,92
"Wyoming, PA",5.735,1.281,16.419,2.798,98
"Yadkin, NC",4.659,1.423,16.039,2.59,95
"Yakima, WA",6.888,0.916,16.85,3.445,100
"Yamhill, OR",6.335,0.972,16.631,2.905,101
"Yellowstone, MT",10.346,1.236,18.941,3.501,94
"Yolo, CA",6.025,0.781,19.615,3.265,99
"York, PA",8.8,1.132,20.039,3.159,96
"York, SC",6.551,1.044,17.862,2.123,93
"York, VA",3.63,0.696,25.762,6.117,99
"Yuba, CA",4.176,0.759,13.954,5.201,99
"Yuma, AZ",6.944,0.873,13.094,4.371,104
